Date,Coin
2015-07-01,stellar
2015-07-01,supernet-unity
2015-07-01,syscoin
2015-07-01,tether
2015-07-01,vertcoin
2015-10-01,bitcoin
2015-10-01,bitcoindark
2015-10-01,bitshares
2015-10-01,blackcoin
2015-10-01,bytecoin-bcn
2015-10-01,cloakcoin
2015-10-01,counterparty
2015-10-01,dash
2015-10-01,digibyte
2015-10-01,digitalnote
2015-10-01,dogecoin
2015-10-01,emercoin
2015-10-01,ethereum
2015-10-01,faircoin
2015-10-01,feathercoin
2015-10-01,gamecredits
2015-10-01,gulden
2015-10-01,litecoin
2015-10-01,maidsafecoin
2015-10-01,monacoin
2015-10-01,monero
2015-10-01,namecoin
2015-10-01,nem
2015-10-01,nxt
2015-10-01,peercoin
2015-10-01,ripple
2015-10-01,stellar
2015-10-01,supernet-unity
2015-10-01,tether
2015-10-01,vertcoin
2016-01-01,bitbay
2016-01-01,bitcoin
2016-01-01,bitcoindark
2016-01-01,bitshares
2016-01-01,blocknet
2016-01-01,bytecoin-bcn
2016-01-01,dash
2016-01-01,digibyte
2016-01-01,dogecoin
2016-01-01,ethereum
2016-01-01,factom
2016-01-01,gamecredits
2016-01-01,groestlcoin
2016-01-01,litecoin
2016-01-01,maidsafecoin
2016-01-01,monacoin
2016-01-01,monero
2016-01-01,nav-coin
2016-01-01,nem
2016-01-01,nexus
2016-01-01,nxt
2016-01-01,reddcoin
2016-01-01,ripple
2016-01-01,siacoin
2016-01-01,stellar
2016-01-01,supernet-unity
2016-01-01,syscoin
2016-01-01,tether
2016-01-01,verge
2016-01-01,vericoin
2016-04-01,agoras-tokens
2016-04-01,bitbay
2016-04-01,bitcoin
2016-04-01,bitcoindark
2016-04-01,bitshares
2016-04-01,blocknet
2016-04-01,bytecoin-bcn
2016-04-01,dash
2016-04-01,decred
2016-04-01,digibyte
2016-04-01,dogecoin
2016-04-01,ethereum
2016-04-01,factom
2016-04-01,gamecredits
2016-04-01,litecoin
2016-04-01,maidsafecoin
2016-04-01,monacoin
2016-04-01,monero
2016-04-01,nav-coin
2016-04-01,nem
2016-04-01,nxt
2016-04-01,reddcoin
2016-04-01,ripple
2016-04-01,siacoin
2016-04-01,stellar
2016-04-01,supernet-unity
2016-04-01,syscoin
2016-04-01,tether
2016-04-01,verge
2016-04-01,vertcoin
2016-07-01,agoras-tokens
2016-07-01,bitcoin
2016-07-01,bitcoindark
2016-07-01,bitshares
2016-07-01,bytecoin-bcn
2016-07-01,dash
2016-07-01,decred
2016-07-01,digibyte
2016-07-01,digixdao
2016-07-01,dogecoin
2016-07-01,ethereum
2016-07-01,factom
2016-07-01,gamecredits
2016-07-01,lisk
2016-07-01,litecoin
2016-07-01,maidsafecoin
2016-07-01,monacoin
2016-07-01,monero
2016-07-01,nem
2016-07-01,nxt
2016-07-01,reddcoin
2016-07-01,ripple
2016-07-01,siacoin
2016-07-01,steem
2016-07-01,stellar
2016-07-01,supernet-unity
2016-07-01,syscoin
2016-07-01,tether
2016-07-01,vertcoin
2016-07-01,waves
2016-10-01,agoras-tokens
2016-10-01,bitcoin
2016-10-01,bitcoindark
2016-10-01,bitshares
2016-10-01,bytecoin-bcn
2016-10-01,dash
2016-10-01,decred
2016-10-01,digibyte
2016-10-01,digixdao
2016-10-01,dogecoin
2016-10-01,ethereum
2016-10-01,ethereum-classic
2016-10-01,factom
2016-10-01,gamecredits
2016-10-01,lisk
2016-10-01,litecoin
2016-10-01,maidsafecoin
2016-10-01,monero
2016-10-01,nav-coin
2016-10-01,nem
2016-10-01,nxt
2016-10-01,ripple
2016-10-01,siacoin
2016-10-01,steem
2016-10-01,stellar
2016-10-01,stratis
2016-10-01,supernet-unity
2016-10-01,syscoin
2016-10-01,tether
2016-10-01,waves
2017-01-01,agoras-tokens
2017-01-01,ardor
2017-01-01,augur
2017-01-01,bitcoin
2017-01-01,bitshares
2017-01-01,bytecoin-bcn
2017-01-01,dash
2017-01-01,digixdao
2017-01-01,dogecoin
2017-01-01,ethereum
2017-01-01,ethereum-classic
2017-01-01,factom
2017-01-01,gamecredits
2017-01-01,golem-network-tokens
2017-01-01,iconomi
2017-01-01,lisk
2017-01-01,litecoin
2017-01-01,maidsafecoin
2017-01-01,monero
2017-01-01,nem
2017-01-01,neo
2017-01-01,nxt
2017-01-01,ripple
2017-01-01,siacoin
2017-01-01,steem
2017-01-01,stellar
2017-01-01,stratis
2017-01-01,tether
2017-01-01,waves
2017-01-01,zcash
2017-04-01,ardor
2017-04-01,augur
2017-04-01,bitcoin
2017-04-01,bitconnect
2017-04-01,bitshares
2017-04-01,bytecoin-bcn
2017-04-01,dash
2017-04-01,decred
2017-04-01,digixdao
2017-04-01,dogecoin
2017-04-01,ethereum
2017-04-01,ethereum-classic
2017-04-01,factom
2017-04-01,gamecredits
2017-04-01,golem-network-tokens
2017-04-01,iconomi
2017-04-01,komodo
2017-04-01,lisk
2017-04-01,litecoin
2017-04-01,maidsafecoin
2017-04-01,monero
2017-04-01,nem
2017-04-01,pivx
2017-04-01,ripple
2017-04-01,siacoin
2017-04-01,steem
2017-04-01,stratis
2017-04-01,tether
2017-04-01,waves
2017-04-01,zcash
2017-07-01,ardor
2017-07-01,augur
2017-07-01,bitcoin
2017-07-01,bitconnect
2017-07-01,bitshares
2017-07-01,byteball
2017-07-01,bytecoin-bcn
2017-07-01,dash
2017-07-01,dogecoin
2017-07-01,ethereum
2017-07-01,ethereum-classic
2017-07-01,factom
2017-07-01,gamecredits
2017-07-01,gnosis-gno
2017-07-01,golem-network-tokens
2017-07-01,iconomi
2017-07-01,iota
2017-07-01,lisk
2017-07-01,litecoin
2017-07-01,maidsafecoin
2017-07-01,monero
2017-07-01,nem
2017-07-01,neo
2017-07-01,ripple
2017-07-01,siacoin
2017-07-01,steem
2017-07-01,stellar
2017-07-01,stratis
2017-07-01,waves
2017-07-01,zcash
2017-10-01,ark
2017-10-01,augur
2017-10-01,basic-attention-token
2017-10-01,bitcoin
2017-10-01,bitcoin-cash
2017-10-01,bitconnect
2017-10-01,bytecoin-bcn
2017-10-01,dash
2017-10-01,eos
2017-10-01,ethereum
2017-10-01,ethereum-classic
2017-10-01,gas
2017-10-01,hshare
2017-10-01,iota
2017-10-01,komodo
2017-10-01,kyber-network
2017-10-01,lisk
2017-10-01,litecoin
2017-10-01,monero
2017-10-01,nem
2017-10-01,neo
2017-10-01,omisego
2017-10-01,qtum
2017-10-01,ripple
2017-10-01,steem
2017-10-01,stratis
2017-10-01,tenx
2017-10-01,tether
2017-10-01,waves
2017-10-01,zcash
2018-01-01,ardor
2018-01-01,bitcoin
2018-01-01,bitcoin-cash
2018-01-01,bitcoin-gold
2018-01-01,bitconnect
2018-01-01,bitshares
2018-01-01,cardano
2018-01-01,dash
2018-01-01,eos
2018-01-01,ethereum
2018-01-01,ethereum-classic
2018-01-01,icon
2018-01-01,iota
2018-01-01,lisk
2018-01-01,litecoin
2018-01-01,monero
2018-01-01,nano
2018-01-01,nem
2018-01-01,neo
2018-01-01,omisego
2018-01-01,populous
2018-01-01,qtum
2018-01-01,ripple
2018-01-01,stellar
2018-01-01,stratis
2018-01-01,tether
2018-01-01,tron
2018-01-01,verge
2018-01-01,waves
2018-01-01,zcash
Following the closure of bitconnect exchange and the collapse of bitconnect coin, which has revealed to be a securities fraud, 
the said coin has been removed from the index as an extraordinary action, and a full recomputation of the components has followed. 
2018-01-19,ardor
2018-01-19,binance-coin
2018-01-19,bitcoin
2018-01-19,bitcoin-cash
2018-01-19,bitcoin-gold
2018-01-19,bytecoin-bcn
2018-01-19,cardano
2018-01-19,dash
2018-01-19,eos
2018-01-19,ethereum
2018-01-19,ethereum-classic
2018-01-19,icon
2018-01-19,iota
2018-01-19,lisk
2018-01-19,litecoin
2018-01-19,monero
2018-01-19,nano
2018-01-19,nem
2018-01-19,neo
2018-01-19,omisego
2018-01-19,populous
2018-01-19,qtum
2018-01-19,ripple
2018-01-19,siacoin
2018-01-19,stellar
2018-01-19,stratis
2018-01-19,tether
2018-01-19,tron
2018-01-19,verge
2018-01-19,zcash
2018-04-01,binance-coin
2018-04-01,bitcoin
2018-04-01,bitcoin-cash
2018-04-01,bitcoin-gold
2018-04-01,cardano
2018-04-01,dash
2018-04-01,digixdao
2018-04-01,eos
2018-04-01,ethereum
2018-04-01,ethereum-classic
2018-04-01,icon
2018-04-01,iota
2018-04-01,lisk
2018-04-01,litecoin
2018-04-01,monero
2018-04-01,nano
2018-04-01,nem
2018-04-01,neo
2018-04-01,omisego
2018-04-01,ontology
2018-04-01,populous
2018-04-01,qtum
2018-04-01,ripple
2018-04-01,steem
2018-04-01,stellar
2018-04-01,tether
2018-04-01,tron
2018-04-01,vechain
2018-04-01,verge
2018-04-01,zcash
2018-07-01,aeternity
2018-07-01,binance-coin
2018-07-01,bitcoin
2018-07-01,bitcoin-cash
2018-07-01,bitcoin-gold
2018-07-01,bytecoin-bcn
2018-07-01,bytom
2018-07-01,cardano
2018-07-01,dash
2018-07-01,decred
2018-07-01,eos
2018-07-01,ethereum
2018-07-01,ethereum-classic
2018-07-01,icon
2018-07-01,iota
2018-07-01,lisk
2018-07-01,litecoin
2018-07-01,monero
2018-07-01,nem
2018-07-01,neo
2018-07-01,omisego
2018-07-01,ontology
2018-07-01,qtum
2018-07-01,ripple
2018-07-01,stellar
2018-07-01,tether
2018-07-01,tron
2018-07-01,vechain
2018-07-01,zcash
2018-07-01,zilliqa
2018-10-01,0x
2018-10-01,binance-coin
2018-10-01,bitcoin
2018-10-01,bitcoin-cash
2018-10-01,bitcoin-gold
2018-10-01,bytecoin-bcn
2018-10-01,cardano
2018-10-01,dash
2018-10-01,decred
2018-10-01,dogecoin
2018-10-01,eos
2018-10-01,ethereum
2018-10-01,ethereum-classic
2018-10-01,iota
2018-10-01,lisk
2018-10-01,litecoin
2018-10-01,maker
2018-10-01,monero
2018-10-01,nem
2018-10-01,neo
2018-10-01,omisego
2018-10-01,ontology
2018-10-01,qtum
2018-10-01,ripple
2018-10-01,stellar
2018-10-01,tether
2018-10-01,tezos
2018-10-01,tron
2018-10-01,vechain
2018-10-01,zcash
Starting from Q1 2019 the index no longer includes coins pegged to the USD. 
2019-01-01,0x
2019-01-01,basic-attention-token
2019-01-01,binance-coin
2019-01-01,bitcoin
2019-01-01,bitcoin-cash
2019-01-01,bitcoin-gold
2019-01-01,bitcoin-sv
2019-01-01,cardano
2019-01-01,dash
2019-01-01,dogecoin
2019-01-01,eos
2019-01-01,ethereum
2019-01-01,ethereum-classic
2019-01-01,iota
2019-01-01,litecoin
2019-01-01,maker
2019-01-01,monero
2019-01-01,nem
2019-01-01,neo
2019-01-01,omisego
2019-01-01,ontology
2019-01-01,qtum
2019-01-01,ripple
2019-01-01,stellar
2019-01-01,tezos
2019-01-01,tron
2019-01-01,vechain
2019-01-01,waves
2019-01-01,zcash
2019-01-01,zilliqa
2019-04-01,basic-attention-token
2019-04-01,binance-coin
2019-04-01,bitcoin
2019-04-01,bitcoin-cash
2019-04-01,bitcoin-gold
2019-04-01,bitcoin-sv
2019-04-01,cardano
2019-04-01,dash
2019-04-01,dogecoin
2019-04-01,eos
2019-04-01,ethereum
2019-04-01,ethereum-classic
2019-04-01,iota
2019-04-01,litecoin
2019-04-01,maker
2019-04-01,maximine-coin
2019-04-01,monero
2019-04-01,nem
2019-04-01,neo
2019-04-01,omisego
2019-04-01,ontology
2019-04-01,qtum
2019-04-01,ravencoin
2019-04-01,ripple
2019-04-01,stellar
2019-04-01,tezos
2019-04-01,tron
2019-04-01,vechain
2019-04-01,waves
2019-04-01,zcash
2019-07-01,basic-attention-token
2019-07-01,binance-coin
2019-07-01,bitcoin
2019-07-01,bitcoin-cash
2019-07-01,bitcoin-gold
2019-07-01,bitcoin-sv
2019-07-01,cardano
2019-07-01,chainlink
2019-07-01,cosmos
2019-07-01,crypto-com-chain
2019-07-01,dash
2019-07-01,dogecoin
2019-07-01,eos
2019-07-01,ethereum
2019-07-01,ethereum-classic
2019-07-01,iota
2019-07-01,litecoin
2019-07-01,maker
2019-07-01,monero
2019-07-01,nem
2019-07-01,neo
2019-07-01,omisego
2019-07-01,ontology
2019-07-01,qtum
2019-07-01,ripple
2019-07-01,stellar
2019-07-01,tezos
2019-07-01,tron
2019-07-01,vechain
2019-07-01,zcash
2019-10-01,basic-attention-token
2019-10-01,binance-coin
2019-10-01,bitcoin
2019-10-01,bitcoin-cash
2019-10-01,bitcoin-sv
2019-10-01,cardano
2019-10-01,chainlink
2019-10-01,cosmos
2019-10-01,crypto-com-coin
2019-10-01,dash
2019-10-01,dogecoin
2019-10-01,eos
2019-10-01,ethereum
2019-10-01,ethereum-classic
2019-10-01,hedgetrade
2019-10-01,huobi-token
2019-10-01,iota
2019-10-01,litecoin
2019-10-01,maker
2019-10-01,monero
2019-10-01,nem
2019-10-01,neo
2019-10-01,ontology
2019-10-01,ripple
2019-10-01,stellar
2019-10-01,tezos
2019-10-01,tron
2019-10-01,unus-sed-leo
2019-10-01,vechain
2019-10-01,zcash
2020-01-01,basic-attention-token
2020-01-01,binance-coin
2020-01-01,bitcoin
2020-01-01,bitcoin-cash
2020-01-01,bitcoin-sv
2020-01-01,cardano
2020-01-01,chainlink
2020-01-01,cosmos
2020-01-01,crypto-com-coin
2020-01-01,dash
2020-01-01,dogecoin
2020-01-01,eos
2020-01-01,ethereum
2020-01-01,ethereum-classic
2020-01-01,hedgetrade
2020-01-01,huobi-token
2020-01-01,iota
2020-01-01,litecoin
2020-01-01,maker
2020-01-01,monero
2020-01-01,nem
2020-01-01,neo
2020-01-01,ontology
2020-01-01,stellar
2020-01-01,tezos
2020-01-01,tron
2020-01-01,unus-sed-leo
2020-01-01,vechain
2020-01-01,xrp
2020-01-01,zcash
2020-04-01,basic-attention-token
2020-04-01,binance-coin
2020-04-01,bitcoin
2020-04-01,bitcoin-cash
2020-04-01,bitcoin-sv
2020-04-01,cardano
2020-04-01,chainlink
2020-04-01,cosmos
2020-04-01,crypto-com-coin
2020-04-01,dash
2020-04-01,dogecoin
2020-04-01,eos
2020-04-01,ethereum
2020-04-01,ethereum-classic
2020-04-01,hedgetrade
2020-04-01,huobi-token
2020-04-01,iota
2020-04-01,litecoin
2020-04-01,maker
2020-04-01,monero
2020-04-01,nem
2020-04-01,neo
2020-04-01,okb
2020-04-01,ontology
2020-04-01,stellar
2020-04-01,tezos
2020-04-01,tron
2020-04-01,unus-sed-leo
2020-04-01,xrp
2020-04-01,zcash
2020-07-01,basic-attention-token
2020-07-01,binance-coin
2020-07-01,bitcoin
2020-07-01,bitcoin-cash
2020-07-01,bitcoin-sv
2020-07-01,cardano
2020-07-01,chainlink
2020-07-01,compound
2020-07-01,cosmos
2020-07-01,crypto-com-coin
2020-07-01,dash
2020-07-01,eos
2020-07-01,ethereum
2020-07-01,ethereum-classic
2020-07-01,hedgetrade
2020-07-01,huobi-token
2020-07-01,iota
2020-07-01,litecoin
2020-07-01,maker
2020-07-01,monero
2020-07-01,nem
2020-07-01,neo
2020-07-01,ontology
2020-07-01,stellar
2020-07-01,tezos
2020-07-01,tron
2020-07-01,unus-sed-leo
2020-07-01,vechain
2020-07-01,xrp
2020-07-01,zcash
2020-10-01,aave
2020-10-01,binance-coin
2020-10-01,bitcoin
2020-10-01,bitcoin-cash
2020-10-01,bitcoin-sv
2020-10-01,cardano
2020-10-01,chainlink
2020-10-01,cosmos
2020-10-01,crypto-com-coin
2020-10-01,dash
2020-10-01,eos
2020-10-01,ethereum
2020-10-01,ethereum-classic
2020-10-01,huobi-token
2020-10-01,iota
2020-10-01,litecoin
2020-10-01,monero
2020-10-01,nem
2020-10-01,neo
2020-10-01,polkadot-new
2020-10-01,stellar
2020-10-01,tezos
2020-10-01,theta
2020-10-01,tron
2020-10-01,unus-sed-leo
2020-10-01,vechain
2020-10-01,wrapped-bitcoin
2020-10-01,xrp
2020-10-01,yearn-finance
2020-10-01,zcash
2021-01-01,aave
2021-01-01,binance-coin
2021-01-01,bitcoin
2021-01-01,bitcoin-cash
2021-01-01,bitcoin-sv
2021-01-01,cardano
2021-01-01,celsius
2021-01-01,chainlink
2021-01-01,cosmos
2021-01-01,crypto-com-coin
2021-01-01,dash
2021-01-01,eos
2021-01-01,ethereum
2021-01-01,filecoin
2021-01-01,huobi-token
2021-01-01,litecoin
2021-01-01,monero
2021-01-01,nem
2021-01-01,neo
2021-01-01,polkadot-new
2021-01-01,revain
2021-01-01,stellar
2021-01-01,tezos
2021-01-01,theta
2021-01-01,tron
2021-01-01,uniswap
2021-01-01,unus-sed-leo
2021-01-01,vechain
2021-01-01,wrapped-bitcoin
2021-01-01,xrp
2021-04-01,aave
2021-04-01,avalanche
2021-04-01,binance-coin
2021-04-01,bitcoin
2021-04-01,bitcoin-cash
2021-04-01,bitcoin-sv
2021-04-01,bittorrent
2021-04-01,cardano
2021-04-01,chainlink
2021-04-01,cosmos
2021-04-01,crypto-com-coin
2021-04-01,dogecoin
2021-04-01,eos
2021-04-01,ethereum
2021-04-01,filecoin
2021-04-01,iota
2021-04-01,klaytn
2021-04-01,kusama
2021-04-01,litecoin
2021-04-01,monero
2021-04-01,polkadot-new
2021-04-01,solana
2021-04-01,stellar
2021-04-01,terra-luna
2021-04-01,theta
2021-04-01,tron
2021-04-01,uniswap
2021-04-01,vechain
2021-04-01,wrapped-bitcoin
2021-04-01,xrp
